language,format,resource_link,source_link
mya,Text / Printed Matter,https://www.fathersloveletter.com/Burma,https://www.fathersloveletter.com/flllanguages.html
mya,Text / Printed Matter,https://global.liveglobal.org/%e1%80%99%e1%80%bc%e1%80%94%e1%80%ba%e1%80%99%e1%80%ac%e1%80%a1%e1%80%80%e1%80%b9%e1%80%81%e1%80%9b%e1%80%ac/,https://liveglobal.org/
mya,Text / Printed Matter,https://knowgod.com/my,https://www.cru.org/
mya,Text / Printed Matter,https://www.wmpress.org/read-booklet/,https://www.wmpress.org/read-booklet/languages-produced/
tha,Audio Recordings,https://globalrecordings.net/en/language/tha,https://www.globalrecordings.net
tha,Film / Video,https://www.simplythestory.org/index.php/gods-story-gs/watch-gs?view=category&amp;id=544,https://www.gods-story.org
tha,Film / Video,https://www.jesusfilm.org/watch/jesus.html/thai.html,https://www.jesusfilm.org
tha,Film / Video,https://www.fathersloveletter.com/Thai,https://www.fathersloveletter.com/flllanguages.html
tha,Film / Video,https://www.lumoproject.com/,https://www.lumoproject.com/
tha,Film / Video,https://www.jesusfilm.org/watch/magdalena.html/thai.html,https://www.jesusfilm.org
tha,Film / Video,https://www.jesusfilm.org/watch/my-last-day.html/thai.html,https://www.jesusfilm.org
tha,Film / Video,https://www.jesusfilm.org/watch/rivka.html/in-the-family/thai.html,https://www.jesusfilm.org
tha,Film / Video,https://rockintl.org/rock-video/thai-king-of-glory/,https://rockintl.org/king-of-glory/
tha,Film / Video,https://www.jesusfilm.org/watch/the-story-of-jesus-for-children/thai.html,https://www.jesusfilm.org
tha,Film / Video,https://www.mars-hill.org/the-hope/store/the-hope/grid,https://mars-hill.org/
tha,Film / Video,https://worldchristianvideos.org/language/list?q=All,https://www.worldchristianvideos.org
tha,General,https://bibleforchildren.org/languages/thai/stories.php,https://bibleforchildren.org/
tha,General,https://www.gotquestions.org/Thai/index.html,https://www.gotquestions.org
tha,General,https://live.bible.is/bible/THAKJV,https://www.faithcomesbyhearing.com/
tha,General,https://live.bible.is/bible/THALPF,https://www.faithcomesbyhearing.com/
tha,General,https://live.bible.is/bible/THARTS,https://www.faithcomesbyhearing.com/
tha,General,https://live.bible.is/bible/THATBS,https://www.faithcomesbyhearing.com/
tha,General,https://live.bible.is/bible/THATSV,https://www.faithcomesbyhearing.com/
tha,General,https://www.scriptureearth.org/00i-Scripture_Index.php?iso=tha,https://www.scriptureearth.org
tha,General,https://www.vm1.tv/th/,https://www.persecution.com/
tha,General,https://almassira.org/,https://almassira.org/
tha,General,https://www.bible.com/languages/tha,https://www.bible.com/versions
tha,General,https://zume.life/resources-th/,https://zume.life/
tha,General,https://zume.training/th/,https://zume.life/
tha,Mobile App,https://play.google.com/store/apps/details?id=com.sirma.mobile.bible.android&hl=th,https://www.bible.com/versions
tha,Mobile App,https://play.google.com/store/apps/details?id=com.biblica.thai,https://play.google.com/store/apps/dev?id=7933427918774029013
tha,Mobile App,https://play.google.com/store/apps/details?id=org.bibleleague.bible.thai,https://www.wbtc.com
tha,Mobile App,https://play.google.com/store/apps/details?id=net.globalrecordings.kowd,https://www.faithcomesbyhearing.com/
tha,Mobile App,https://apk.fcbh.org/Thai,https://www.faithcomesbyhearing.com/
tha,Mobile App,https://play.google.com/store/apps/details?id=org.fcbh.thatsv.n2.n,https://www.faithcomesbyhearing.com/
tha,Mobile App,https://itunes.apple.com/app/bible/id282935706,https://www.bible.com/versions
tha,Mobile App,https://apps.apple.com/us/app/%E0%B8%9E%E0%B8%A3%E0%B8%B0%E0%B8%84%E0%B8%A3-%E0%B8%AA%E0%B8%95%E0%B8%98%E0%B8%A3%E0%B8%A3%E0%B8%A1%E0%B8%84-%E0%B8%A1%E0%B8%A0-%E0%B8%A3-%E0%B8%82%E0%B8%88%E0%B8%87/id1359464758,https://www.wbtc.com
tha,Text / Printed Matter,https://library.onehope.net/resources/typeMain?language=99,https://onehope.net/
tha,Text / Printed Matter,https://www.literacyevangelism.org/primers/thai,https://www.literacyevangelism.org
tha,Text / Printed Matter,https://knowgod.com/th,https://www.cru.org/
tha,Text / Printed Matter,https://www.wmpress.org/read-booklet/,https://www.wmpress.org/read-booklet/languages-produced/
khm,Audio Recordings,https://globalrecordings.net/en/language/khm,https://www.globalrecordings.net
khm,Audio Recordings,https://www.fathersloveletter.com/Khmer,https://www.fathersloveletter.com/flllanguages.html
khm,Audio Recordings,https://talkingbibles.org,https://www.talkingbibles.org/
khm,Audio Recordings,https://www.onestory-media.org/khm,https://www.onestory-media.org/
khm,Film / Video,https://www.simplythestory.org/index.php/gods-story-gs/watch-gs?view=category&amp;id=424,https://www.gods-story.org
khm,Film / Video,https://www.indigitube.tv/?s=Khmer,https://www.createinternational.com
khm,Film / Video,https://www.jesusfilm.org/watch/jesus.html/khmer.html,https://www.jesusfilm.org
khm,Film / Video,https://www.lumoproject.com/,https://www.lumoproject.com/
khm,Film / Video,https://www.jesusfilm.org/watch/magdalena.html/khmer.html,https://www.jesusfilm.org
khm,Film / Video,https://www.jesusfilm.org/watch/my-last-day.html/khmer.html,https://www.jesusfilm.org
khm,Film / Video,https://rockintl.org/rock-video/khmer-king-of-glory/,https://rockintl.org/king-of-glory/
khm,Film / Video,https://www.jesusfilm.org/watch/the-story-of-jesus-for-children/khmer.html,https://www.jesusfilm.org
khm,Film / Video,https://www.mars-hill.org/the-hope/store/the-hope/grid,https://mars-hill.org/
khm,Film / Video,https://worldchristianvideos.org/language/list?q=All,https://www.worldchristianvideos.org
khm,General,https://bibleforchildren.org/languages/khmer/stories.php,https://bibleforchildren.org/
khm,General,https://www.gotquestions.org/Khmer/,https://www.gotquestions.org
khm,General,https://live.bible.is/bible/KHMBSC,https://www.faithcomesbyhearing.com/
khm,General,https://live.bible.is/bible/KHMDPI,https://www.faithcomesbyhearing.com/
khm,General,https://live.bible.is/bible/KHMKOV,https://www.faithcomesbyhearing.com/
khm,General,https://www.scriptureearth.org/00i-Scripture_Index.php?iso=khm,https://www.scriptureearth.org
khm,General,https://www.bible.com/languages/khm,https://www.bible.com/versions
khm,Mobile App,https://app.scriptoria.io/api/products/31034892-5862-496e-868c-30c8779e7ef7/files/published/apk,https://www.sil.org/
khm,Mobile App,https://play.google.com/store/apps/details?id=globalkhmer.bible,
khm,Mobile App,https://play.google.com/store/apps/details?id=com.sirma.mobile.bible.android&hl=km,https://www.bible.com/versions
khm,Mobile App,https://play.google.com/store/apps/details?id=khmerbible.khm.org,
khm,Mobile App,https://apk.fcbh.org/Khmer_Central_SV,https://www.faithcomesbyhearing.com/
khm,Mobile App,https://apk.fcbh.org/Khmer_Northern_TBS,https://www.faithcomesbyhearing.com/
khm,Mobile App,https://itunes.apple.com/app/bible/id282935706,https://www.bible.com/versions
khm,Text / Printed Matter,https://ebible.org/find/details.php?id=khm,https://ebible.org/
khm,Text / Printed Matter,https://www.literacyevangelism.org/primers/khmer,https://www.literacyevangelism.org
khm,Text / Printed Matter,https://knowgod.com/km-KH,https://www.cru.org/
khm,Text / Printed Matter,https://www.wmpress.org/read-booklet/,https://www.wmpress.org/read-booklet/languages-produced/
shn,Audio Recordings,https://globalrecordings.net/en/language/shn,https://www.globalrecordings.net
shn,Film / Video,https://www.simplythestory.org/index.php/gods-story-gs/watch-gs?view=category&amp;id=84,https://www.gods-story.org
shn,Film / Video,https://www.indigitube.tv/?s=Shan+Myanmar,https://www.createinternational.com
shn,Film / Video,https://www.jesusfilm.org/watch/jesus.html/shan.html,https://www.jesusfilm.org
shn,Film / Video,https://vimeo.com/1046857230?share=copy,https://mars-hill.org/
shn,Film / Video,https://worldchristianvideos.org/language/list?q=All,https://www.worldchristianvideos.org
shn,General,https://bibleforchildren.org/languages/shan/stories.php,https://bibleforchildren.org/
shn,General,https://live.bible.is/bible/SHNSHN,https://www.faithcomesbyhearing.com/
shn,General,https://www.scriptureearth.org/00i-Scripture_Index.php?iso=shn,https://www.scriptureearth.org
shn,General,https://www.bible.com/languages/shn,https://www.bible.com/versions
shn,Mobile App,https://play.google.com/store/apps/details?id=com.sirma.mobile.bible.android,https://www.bible.com/versions
shn,Mobile App,https://play.google.com/store/apps/details?id=org.omf.shan.bible,
shn,Mobile App,https://apk.fcbh.org/Shan_TBS,https://www.faithcomesbyhearing.com/
shn,Mobile App,https://itunes.apple.com/app/bible/id282935706,https://www.bible.com/versions
shn,Text / Printed Matter,https://global.liveglobal.org/resource/ancient-path/,https://liveglobal.org/
lao,Audio Recordings,https://globalrecordings.net/en/language/lao,https://www.globalrecordings.net
lao,Film / Video,https://www.simplythestory.org/index.php/gods-story-gs/watch-gs?view=category&amp;id=445,https://www.gods-story.org
lao,Film / Video,https://www.jesusfilm.org/watch/jesus.html/lao.html,https://www.jesusfilm.org
lao,Film / Video,https://www.jesusfilm.org/watch/magdalena.html/lao.html,https://www.jesusfilm.org
lao,Film / Video,https://www.jesusfilm.org/watch/my-last-day.html/lao.html,https://www.jesusfilm.org
lao,Film / Video,https://www.jesusfilm.org/watch/the-story-of-jesus-for-children/lao.html,https://www.jesusfilm.org
lao,Film / Video,https://www.mars-hill.org/the-hope/store/the-lao-hope-storyteller-version,https://mars-hill.org/
lao,Film / Video,https://worldchristianvideos.org/language/list?q=All,https://www.worldchristianvideos.org
lao,General,https://bibleforchildren.org/languages/lao/stories.php,https://bibleforchildren.org/
lao,General,https://www.gotquestions.org/Lao/index.html,https://www.gotquestions.org
lao,General,https://live.bible.is/bible/LAOUBS,https://www.faithcomesbyhearing.com/
